Date,Merchant,Amount,Category
2024-01-02,Starbucks,716.89,Food
2024-01-03,HDFC Loan EMI,2310.92,Bills
2024-01-03,Zomato,837.35,Food
2024-01-04,Yatra,11040.3,Travel
2024-01-04,Zara India,2681.01,Shopping
2024-01-04,Box8,951.36,Food
2024-01-06,Cult.fit,3601.49,Healthcare
2024-01-06,Amazon Prime,2268.62,Bills
2024-01-08,FreshMenu,676.72,Food
2024-01-08,Flipkart,6297.34,Shopping
2024-01-09,Zepto,4477.57,Shopping
2024-01-11,Gas Bill GAIL,477.42,Bills
2024-01-11,Swiggy,302.97,Food
2024-01-11,Domino's Pizza,877.41,Food
2024-01-12,Flipkart,6106.83,Shopping
2024-01-13,Subway,506.06,Food
2024-01-13,HDFC Loan EMI,3773.18,Bills
2024-01-14,Metro Card Recharge,9815.16,Travel
2024-01-14,Spotify Premium,1385.79,Bills
2024-01-15,Google One,643.32,Bills
2024-01-15,Rapido,1749.94,Travel
2024-01-17,Ajio,5528.55,Shopping
2024-01-17,Zomato,139.41,Food
2024-01-20,Air India,11597.81,Travel
2024-01-22,Lifestyle Stores,6519.91,Shopping
2024-01-22,Faasos,363.75,Food
2024-01-22,Metro Card Recharge,5560.99,Travel
2024-01-23,Spencer's Retail,5426.12,Shopping
2024-01-23,PlayStation Store,2632.15,Entertainment
2024-01-23,Haldiram's,681.31,Food
2024-01-25,Flipkart,5959.76,Shopping
2024-01-25,Spotify Premium,2890.43,Bills
2024-01-25,Microsoft 365,4909.49,Bills
2024-01-26,Reliance Digital,6963.58,Shopping
2024-01-29,Tata Sky DTH,970.74,Bills
2024-01-29,Zomato,852.8,Food
2024-01-31,Goibibo,11997.15,Travel
2024-02-01,Yoga Studio,1585.55,Healthcare
2024-02-02,Dr. Lal PathLabs,286.88,Healthcare
2024-02-03,Amazon,477.44,Shopping
2024-02-03,Box8,157.42,Food
2024-02-04,Blinkit,454.29,Shopping
2024-02-04,SRL Diagnostics,1568.78,Healthcare
2024-02-04,Westside,7873.24,Shopping
2024-02-05,Smaaash Entertainment,2569.78,Entertainment
2024-02-05,Ola Cabs,1558.01,Travel
2024-02-06,IRCTC,7364.54,Travel
2024-02-09,Zepto,1933.68,Shopping
2024-02-10,Zoom Car,11815.53,Travel
2024-02-10,Zara India,3763.51,Shopping
2024-02-11,PlayStation Store,2143.24,Entertainment
2024-02-11,Cult.fit,292.62,Healthcare
2024-02-11,Ola,2159.18,Travel
2024-02-12,BigBasket,6957.41,Shopping
2024-02-12,Lifestyle Stores,6635.68,Shopping
2024-02-12,Snapdeal,6505.62,Shopping
2024-02-12,FastTag Recharge,5787.34,Travel
2024-02-12,HealthifyMe,3923.74,Healthcare
2024-02-12,MTR Foods,456.13,Food
2024-02-15,Fastrack,1354.46,Entertainment
2024-02-16,BWSSB Water,4451.01,Bills
2024-02-16,Lifestyle Stores,1732.27,Shopping
2024-02-19,Swiggy,828.1,Food
2024-02-19,SRL Diagnostics,3773.71,Healthcare
2024-02-21,Flipkart,1800.85,Shopping
2024-02-22,YouTube Premium,1312.67,Entertainment
2024-02-22,Vistara,3935.95,Travel
2024-02-22,Barbeque Nation,933.03,Food
2024-02-23,Max Healthcare,1345.65,Healthcare
2024-02-23,Ajio,6023.2,Shopping
2024-02-23,YouTube Premium,2950.33,Entertainment
2024-02-24,Netmeds,1153.3,Healthcare
2024-02-25,MX Player Premium,404.35,Entertainment
2024-02-25,Subway,1025.98,Food
2024-02-26,Faasos,595.09,Food
2024-02-26,Jio Recharge,2111.66,Bills
2024-02-26,Netmeds,2768.62,Healthcare
2024-02-26,Metro Card Recharge,4856.81,Travel
2024-02-27,Amazon,2320.16,Shopping
2024-02-27,Paytm Insurance,382.35,Bills
2024-02-29,Faasos,313.35,Food
2024-03-01,Westside,1447.15,Shopping
2024-03-01,Ajio,6898.52,Shopping
2024-03-02,HDFC Loan EMI,1558.76,Bills
2024-03-02,Barbeque Nation,862.93,Food
2024-03-03,Domino's Pizza,442.57,Food
2024-03-04,Amazon,7077.78,Shopping
2024-03-05,Social Restaurant,785.39,Food
2024-03-05,Reliance Digital,1905.11,Shopping
2024-03-05,Domino's Pizza,1032.31,Food
2024-03-06,Udupi Darshini,269.3,Food
2024-03-08,Simplilearn,2125.04,Education
2024-03-08,Snapdeal,4801.62,Shopping
2024-03-09,BYJU'S,3042.32,Education
2024-03-09,Axis Bank EMI,4846.82,Bills
2024-03-10,Social Restaurant,1031.99,Food
2024-03-10,upGrad,3859.91,Education
2024-03-10,Max Healthcare,319.24,Healthcare
2024-03-11,Subway,448.97,Food
2024-03-12,Zepto,4577.42,Shopping
2024-03-12,MakeMyTrip,10371.69,Travel
2024-03-14,Box8,1013.69,Food
2024-03-14,VR Park,1736.34,Entertainment
2024-03-15,Pizza Hut,157.25,Food
2024-03-15,McDonald's,564.83,Food
2024-03-15,Haldiram's,861.66,Food
2024-03-16,Westside,6931.27,Shopping
2024-03-16,ACT Fibernet,3336.51,Bills
2024-03-16,SBI Credit Card Bill,3112.97,Bills
2024-03-17,Rebel Foods,1086.24,Food
2024-03-17,Westside,7389.88,Shopping
2024-03-17,Flipkart,5571.75,Shopping
2024-03-18,INOX Movies,1229.31,Entertainment
2024-03-18,Society Maintenance,1682.87,Bills
2024-03-18,Yatra,1992.79,Travel
2024-03-20,ACT Fibernet,1565.05,Bills
2024-03-20,Vistara,2759.67,Travel
2024-03-21,Microsoft 365,4932.03,Bills
2024-03-22,Spotify Premium,1417.57,Bills
2024-03-24,BWSSB Water,4057.53,Bills
2024-03-27,Meesho,5742.72,Shopping
2024-03-27,Behrouz Biryani,1194.38,Food
2024-03-28,MakeMyTrip,7778.74,Travel
2024-03-28,Vedantu,5841.85,Education
2024-03-30,Ajio,7320.43,Shopping
2024-03-30,Spotify Premium,4997.33,Bills
2024-04-01,Axis Bank EMI,597.35,Bills
2024-04-01,Yatra,2520.37,Travel
2024-04-02,Zara India,2891.17,Shopping
2024-04-02,Society Maintenance,3081.47,Bills
2024-04-02,EatFit,691.19,Food
2024-04-03,FreshMenu,599.76,Food
2024-04-03,Swiggy,846.48,Food
2024-04-04,Fortis Hospital,2219.3,Healthcare
2024-04-04,Cafe Coffee Day,94.37,Food
2024-04-08,Unacademy,5037.16,Education
2024-04-08,Ola Cabs,3503.31,Travel
2024-04-09,Behrouz Biryani,796.64,Food
2024-04-09,Netflix,1840.54,Bills
2024-04-09,Airtel Postpaid,1023.63,Bills
2024-04-09,Tata Sky DTH,3942.07,Bills
2024-04-09,Haldiram's,798.43,Food
2024-04-11,Ajio,3799.68,Shopping
2024-04-11,Max Healthcare,951.35,Healthcare
2024-04-13,ACT Fibernet,1773.74,Bills
